אא: 0.0003466 ,אב: 0.0030324 ,אג: 0.0054717 ,אד: 0.0006193 ,אה: 0.0016148 ,או: 0.0039238 ,אז: 0.0011885 ,אח: 0.0037431 ,אט: 0.0014927 ,אי: 0.0001874 ,אך: 0.0066744 ,אכ: 0.0068465 ,אל: 0.00262 ,אם: 0.0053604 ,אמ: 0.0011778 ,אן: 0.0070686 ,אנ: 0.0037681 ,אס: 0.0056187 ,אע: 0.0057974 ,אף: 0.0002563 ,אפ: 0.0002706 ,אץ: 0.0008975 ,אצ: 0.0003303 ,אק: 0.0016525 ,אר: 0.000387 ,אש: 0.0016439 ,אû: 0.0 ,אü: 0.0 ,א‎: 0.000363 ,א‏: 0.0014248 ,אÿ: 0.0023157 
כא: 0.0042607 ,כב: 7.76e-05 ,כג: 0.0002389 ,כד: 4.9e-05 ,כה: 8.68e-05 ,כו: 0.0062926 ,כז: 0.0007877 ,כח: 4.95e-05 ,כט: 0.0076679 ,כי: 0.0 ,כך: 0.0002527 ,ככ: 0.0002609 ,כל: 5.51e-05 ,כם: 0.0003921 ,כמ: 0.0032744 ,כן: 0.0002272 ,כנ: 4.14e-05 ,כס: 0.0004023 ,כע: 0.0001205 ,כף: 0.001311 ,כפ: 4.24e-05 ,כץ: 1.07e-05 ,כצ: 9.7e-06 ,כק: 5.62e-05 ,כר: 4.6e-06 ,כש: 1.5e-06 ,כû: 0.0004865 ,כü: 0.0065667 ,כ‎: 3.37e-05 ,כ‏: 0.0007096 ,כÿ: 0.0032275 
לא: 0.0024168 ,לב: 0.0001899 ,לג: 0.0006994 ,לד: 0.0001006 ,לה: 0.000387 ,לו: 0.00675 ,לז: 0.0001261 ,לח: 0.0001577 ,לט: 0.0026843 ,לי: 5e-07 ,לך: 0.0006427 ,לכ: 0.0002175 ,לל: 0.0005539 ,לם: 0.0008041 ,למ: 0.0067638 ,לן: 0.0011354 ,לנ: 0.0003089 ,לס: 0.0010215 ,לע: 0.000487 ,לף: 0.0021375 ,לפ: 7.25e-05 ,לץ: 5.16e-05 ,לצ: 2.65e-05 ,לק: 0.0003482 ,לר: 1.33e-05 ,לש: 5e-07 ,לû: 0.0016597 ,לü: 1.99e-05 ,ל‎: 0.0001501 ,ל‏: 5.1e-06 ,לÿ: 0.0005345 
םא: 0.0082274 ,םב: 0.0001021 ,םג: 0.0002093 ,םד: 0.0002823 ,םה: 0.0004957 ,םו: 0.0074775 ,םז: 1.07e-05 ,םח: 5.26e-05 ,םט: 0.0106871 ,םי: 5e-07 ,םך: 0.0008714 ,םכ: 2.55e-05 ,םל: 6.59e-05 ,םם: 0.0054599 ,םמ: 0.0153271 ,םן: 0.000289 ,םנ: 9.75e-05 ,םס: 0.0009761 ,םע: 0.0011584 ,םף: 0.0013156 ,םפ: 3.42e-05 ,םץ: 4.39e-05 ,םצ: 0.0002772 ,םק: 0.0001302 ,םר: 6.6e-06 ,םש: 2.4e-05 ,םû: 0.0057351 ,םü: 0.0011885 ,ם‎: 2.71e-05 ,ם‏: 7.5e-05 ,םÿ: 0.0010052 
מא: 0.0002011 ,מב: 0.0076148 ,מג: 0.0121711 ,מד: 0.0059056 ,מה: 0.0107682 ,מו: 0.0025362 ,מז: 0.0018261 ,מח: 0.0019844 ,מט: 0.0075102 ,מי: 0.0052195 ,מך: 0.0034153 ,מכ: 0.0055018 ,מל: 0.0059174 ,מם: 0.0053226 ,ממ: 0.0024214 ,מן: 0.0042893 ,מנ: 0.007358 ,מס: 0.0117306 ,מע: 0.010053 ,מף: 0.0002833 ,מפ: 0.0003242 ,מץ: 0.0005049 ,מצ: 0.0009424 ,מק: 0.0041147 ,מר: 0.0006723 ,מש: 0.0001138 ,מû: 0.0 ,מü: 0.0 ,מ‎: 0.0006402 ,מ‏: 0.0001914 ,מÿ: 0.0012012 
ןא: 0.000923 ,ןב: 1.5e-06 ,ןג: 1.94e-05 ,ןד: 1.5e-06 ,ןה: 8.7e-06 ,ןו: 0.0023678 ,ןז: 0.0 ,ןח: 2e-06 ,ןט: 0.004273 ,ןי: 0.0 ,ןך: 0.0001378 ,ןכ: 0.0010746 ,ןל: 5.6e-06 ,ןם: 0.0001516 ,ןמ: 0.008548 ,ןן: 6.59e-05 ,ןנ: 0.0140983 ,ןס: 1.99e-05 ,ןע: 4.39e-05 ,ןף: 0.0003946 ,ןפ: 2.6e-06 ,ןץ: 5e-07 ,ןצ: 3.06e-05 ,ןק: 1.94e-05 ,ןר: 2.81e-05 ,ןש: 2.6e-06 ,ןû: 6.69e-05 ,ןü: 3.1e-06 ,ן‎: 1.5e-06 ,ן‏: 5e-07 ,ןÿ: 0.0001465 
נא: 0.0116463 ,נב: 3.83e-05 ,נג: 0.000608 ,נד: 0.0002267 ,נה: 0.0001424 ,נו: 0.0091642 ,נז: 0.0004161 ,נח: 3.68e-05 ,נט: 0.0054982 ,ני: 0.0 ,נך: 0.0002108 ,נכ: 0.0001103 ,נל: 0.0017041 ,נם: 0.0009884 ,נמ: 0.0118 ,נן: 0.0001976 ,ננ: 5.77e-05 ,נס: 0.0002461 ,נע: 0.0003783 ,נף: 0.0036252 ,נפ: 0.0001011 ,נץ: 5.41e-05 ,נצ: 8.88e-05 ,נק: 3.73e-05 ,נר: 0.0004605 ,נש: 1.63e-05 ,נû: 0.0018292 ,נü: 0.0002726 ,נ‎: 2.14e-05 ,נ‏: 1.23e-05 ,נÿ: 0.0007984 
סא: 0.0019027 ,סב: 8.07e-05 ,סג: 0.0015514 ,סד: 3.22e-05 ,סה: 0.0003446 ,סו: 0.0019374 ,סז: 2.04e-05 ,סח: 3.47e-05 ,סט: 0.0019369 ,סי: 4.1e-06 ,סך: 0.0022754 ,סכ: 0.0037502 ,סל: 0.0006744 ,סם: 0.0010476 ,סמ: 0.0042204 ,סן: 0.0015657 ,סנ: 0.0015019 ,סס: 0.0017909 ,סע: 0.0238874 ,סף: 0.0010894 ,ספ: 0.000171 ,סץ: 0.0003951 ,סצ: 4.03e-05 ,סק: 0.0002798 ,סר: 0.0002308 ,סש: 1e-06 ,סû: 0.0003298 ,סü: 0.0010129 ,ס‎: 6.18e-05 ,ס‏: 0.0001674 ,סÿ: 0.004979 
עא: 0.0110046 ,עב: 0.0003048 ,עג: 0.0079237 ,עד: 6.89e-05 ,עה: 0.0012431 ,עו: 0.006895 ,עז: 8.42e-05 ,עח: 0.0002231 ,עט: 0.0061517 ,עי: 3.6e-06 ,עך: 0.0009521 ,עכ: 0.0003517 ,על: 0.0002328 ,עם: 0.0027445 ,עמ: 0.0195955 ,ען: 0.0011936 ,ענ: 0.004394 ,עס: 0.004976 ,עע: 0.0007127 ,עף: 0.0012594 ,עפ: 0.0001848 ,עץ: 6.02e-05 ,עצ: 3.17e-05 ,עק: 0.0003665 ,ער: 2.04e-05 ,עש: 9.7e-06 ,עû: 0.0009873 ,עü: 0.0056366 ,ע‎: 0.000196 ,ע‏: 2.65e-05 ,עÿ: 0.0003752 
ףא: 0.00034 ,ףב: 0.0002343 ,ףג: 0.0006029 ,ףד: 0.0013054 ,ףה: 0.0022524 ,ףו: 0.0008347 ,ףז: 0.0007719 ,ףח: 0.0001389 ,ףט: 0.0003405 ,ףי: 3.6e-06 ,ףך: 0.0017429 ,ףכ: 0.0003599 ,ףל: 0.0006749 ,ףם: 0.0010517 ,ףמ: 0.0003671 ,ףן: 0.0017674 ,ףנ: 0.0005529 ,ףס: 0.0010573 ,ףע: 0.0011211 ,ףף: 6.43e-05 ,ףפ: 7.76e-05 ,ףץ: 0.0001552 ,ףצ: 1.89e-05 ,ףק: 0.0011961 ,ףר: 0.0001021 ,ףש: 0.0005554 ,ףû: 0.0 ,ףü: 0.0 ,ף‎: 0.0001128 ,ף‏: 0.0020063 ,ףÿ: 5e-05 
פא: 0.0004661 ,פב: 1e-06 ,פג: 2.6e-06 ,פד: 5e-07 ,פה: 1e-06 ,פו: 0.0002231 ,פז: 0.0 ,פח: 5e-07 ,פט: 0.000269 ,פי: 0.0 ,פך: 4.6e-06 ,פכ: 7.7e-06 ,פל: 1e-06 ,פם: 3.1e-06 ,פמ: 0.0014759 ,פן: 2.81e-05 ,פנ: 6.89e-05 ,פס: 0.0007244 ,פע: 2e-06 ,פף: 0.0005616 ,פפ: 2.4e-05 ,פץ: 9.7e-06 ,פצ: 0.0 ,פק: 5.1e-06 ,פר: 0.0 ,פש: 0.0 ,פû: 1.5e-06 ,פü: 0.0 ,פ‎: 1.33e-05 ,פ‏: 0.0 ,פÿ: 1e-06 
ץא: 0.0002716 ,ץב: 5.46e-05 ,ץג: 0.0004084 ,ץד: 7.1e-05 ,ץה: 0.0003048 ,ץו: 8.93e-05 ,ץז: 6.64e-05 ,ץח: 0.0001225 ,ץט: 0.0003645 ,ץי: 0.0 ,ץך: 0.0003329 ,ץכ: 0.0002267 ,ץל: 0.0001868 ,ץם: 0.0002752 ,ץמ: 0.0023764 ,ץן: 0.0007847 ,ץנ: 0.000439 ,ץס: 0.0007806 ,ץע: 0.0002803 ,ץף: 0.0001455 ,ץפ: 0.0001746 ,ץץ: 2.91e-05 ,ץצ: 4.39e-05 ,ץק: 0.0001695 ,ץר: 1.74e-05 ,ץש: 0.0 ,ץû: 0.0 ,ץü: 0.0 ,ץ‎: 0.0001021 ,ץ‏: 2.6e-06 ,ץÿ: 1.53e-05 
צא: 0.0002905 ,צב: 3.6e-06 ,צג: 2.76e-05 ,צד: 2.6e-06 ,צה: 1.58e-05 ,צו: 0.0016724 ,צז: 1e-06 ,צח: 6.1e-06 ,צט: 0.0012247 ,צי: 0.0 ,צך: 3.37e-05 ,צכ: 2.6e-06 ,צל: 8.7e-06 ,צם: 1.02e-05 ,צמ: 7.81e-05 ,צן: 1.89e-05 ,צנ: 1.33e-05 ,צס: 1.48e-05 ,צע: 1.68e-05 ,צף: 7.86e-05 ,צפ: 3.1e-06 ,צץ: 1.5e-06 ,צצ: 5e-07 ,צק: 3.6e-06 ,צר: 1e-06 ,צש: 0.0 ,צû: 9.04e-05 ,צü: 0.0 ,צ‎: 5.6e-06 ,צ‏: 1e-06 ,צÿ: 3.6e-06 
קא: 0.0031284 ,קב: 1e-06 ,קג: 1.23e-05 ,קד: 1e-06 ,קה: 2e-06 ,קו: 0.0044287 ,קז: 0.0 ,קח: 1e-06 ,קט: 0.0025158 ,קי: 0.0 ,קך: 0.0001047 ,קכ: 2.86e-05 ,קל: 2e-06 ,קם: 0.0020574 ,קמ: 7.1e-06 ,קן: 4.6e-06 ,קנ: 3.73e-05 ,קס: 2.81e-05 ,קע: 0.0020191 ,קף: 0.0002175 ,קפ: 5e-07 ,קץ: 0.0 ,קצ: 0.0 ,קק: 5e-07 ,קר: 3.52e-05 ,קש: 0.0 ,קû: 0.0 ,קü: 8.58e-05 ,ק‎: 5e-07 ,ק‏: 0.0 ,קÿ: 5e-07 
רא: 0.0004538 ,רב: 5e-07 ,רג: 5.6e-06 ,רד: 0.0 ,רה: 1e-06 ,רו: 0.0018593 ,רז: 0.0 ,רח: 0.0 ,רט: 0.0008464 ,רי: 0.0 ,רך: 5.05e-05 ,רכ: 0.0003257 ,רל: 6.6e-06 ,רם: 7.25e-05 ,רמ: 6.02e-05 ,רן: 7.1e-06 ,רנ: 3.6e-06 ,רס: 3.6e-06 ,רע: 0.000145 ,רף: 7.86e-05 ,רפ: 5e-07 ,רץ: 0.0 ,רצ: 5e-07 ,רק: 5e-07 ,רר: 0.0 ,רש: 0.0 ,רû: 0.0 ,רü: 0.0006989 ,ר‎: 0.0 ,ר‏: 3.1e-06 ,רÿ: 0.0 
שא: 0.000754 ,שב: 0.0 ,שג: 4.1e-06 ,שד: 0.0 ,שה: 1e-06 ,שו: 0.0035031 ,שז: 0.0 ,שח: 5e-07 ,שט: 0.0009802 ,שי: 0.0 ,שך: 2e-06 ,שכ: 0.0 ,של: 5e-07 ,שם: 4.54e-05 ,שמ: 5e-07 ,שן: 4.6e-06 ,שנ: 2.6e-06 ,שס: 2e-06 ,שע: 0.0 ,שף: 8.83e-05 ,שפ: 0.0 ,שץ: 0.0 ,שצ: 0.0 ,שק: 1e-06 ,שר: 0.0 ,שש: 0.0 ,שû: 0.0 ,שü: 4.19e-05 ,ש‎: 0.0 ,ש‏: 0.0 ,שÿ: 0.0 
ûא: 5.97e-05 ,ûב: 0.0001567 ,ûג: 0.0012814 ,ûד: 5.31e-05 ,ûה: 0.000314 ,ûו: 0.0017577 ,ûז: 2.81e-05 ,ûח: 0.0001771 ,ûט: 0.0003997 ,ûי: 0.0022391 ,ûך: 0.0003063 ,ûכ: 0.000775 ,ûל: 0.0014167 ,ûם: 0.0005708 ,ûמ: 0.0003686 ,ûן: 0.0009368 ,ûנ: 0.0006203 ,ûס: 0.0008255 ,ûע: 0.0009373 ,ûף: 0.0001026 ,ûפ: 4.39e-05 ,ûץ: 0.0019313 ,ûצ: 1.68e-05 ,ûק: 0.0001756 ,ûר: 0.0004355 ,ûש: 5.1e-06 ,ûû: 0.0 ,ûü: 0.0 ,û‎: 8.22e-05 ,û‏: 0.0 ,ûÿ: 2.45e-05 
üא: 0.0001082 ,üב: 0.000195 ,üג: 0.0009787 ,üד: 0.0006994 ,üה: 0.0003701 ,üו: 0.0003252 ,üז: 5.36e-05 ,üח: 0.0002537 ,üט: 0.0005335 ,üי: 5e-07 ,üך: 0.0016362 ,üכ: 0.0001123 ,üל: 0.0002767 ,üם: 0.0043695 ,üמ: 0.000508 ,üן: 0.0010532 ,üנ: 0.0002905 ,üס: 0.0014019 ,üע: 0.0006121 ,üף: 0.0001021 ,üפ: 0.0001118 ,üץ: 3.98e-05 ,üצ: 0.0001133 ,üק: 0.0002512 ,üר: 0.0007632 ,üש: 3.52e-05 ,üû: 0.0 ,üü: 0.0 ,ü‎: 0.0001761 ,ü‏: 0.0004447 ,üÿ: 0.0001138 
‎א: 0.0 ,‎ב: 0.0 ,‎ג: 5.1e-06 ,‎ד: 1.5e-06 ,‎ה: 6.1e-06 ,‎ו: 1.5e-06 ,‎ז: 0.0 ,‎ח: 3.6e-06 ,‎ט: 2e-06 ,‎י: 7.7e-06 ,‎ך: 0.0004074 ,‎כ: 0.0002435 ,‎ל: 7.1e-06 ,‎ם: 2.6e-05 ,‎מ: 5e-07 ,‎ן: 2.4e-05 ,‎נ: 1.53e-05 ,‎ס: 9.2e-06 ,‎ע: 0.0028676 ,‎ף: 1e-06 ,‎פ: 1.99e-05 ,‎ץ: 0.0 ,‎צ: 1e-06 ,‎ק: 5e-07 ,‎ר: 5e-07 ,‎ש: 0.0 ,‎û: 0.0 ,‎ü: 0.0 ,‎‎: 0.0 ,‎‏: 5e-07 ,‎ÿ: 3.6e-06 
‏א: 3.42e-05 ,‏ב: 4.49e-05 ,‏ג: 0.0002185 ,‏ד: 2.81e-05 ,‏ה: 0.0002644 ,‏ו: 3.42e-05 ,‏ז: 3.68e-05 ,‏ח: 6.74e-05 ,‏ט: 0.0001332 ,‏י: 1.5e-06 ,‏ך: 0.0001879 ,‏כ: 3.83e-05 ,‏ל: 7.15e-05 ,‏ם: 0.0001491 ,‏מ: 0.0002057 ,‏ן: 0.0003329 ,‏נ: 0.0002292 ,‏ס: 0.0006948 ,‏ע: 0.0018317 ,‏ף: 2.6e-05 ,‏פ: 0.0001537 ,‏ץ: 6.1e-06 ,‏צ: 3.98e-05 ,‏ק: 0.0004457 ,‏ר: 4.1e-06 ,‏ש: 0.0010042 ,‏û: 0.0 ,‏ü: 0.0 ,‏‎: 3.37e-05 ,‏‏: 2.6e-05 ,‏ÿ: 8.2e-06 
ÿא: 0.0001542 ,ÿב: 0.0002119 ,ÿג: 0.0022861 ,ÿד: 0.0001077 ,ÿה: 0.0008229 ,ÿו: 0.0016745 ,ÿז: 0.0002644 ,ÿח: 0.0004074 ,ÿט: 0.0008122 ,ÿי: 6.43e-05 ,ÿך: 0.0011027 ,ÿכ: 0.000293 ,ÿל: 0.0006484 ,ÿם: 0.0018817 ,ÿמ: 0.0008184 ,ÿן: 0.0014708 ,ÿנ: 0.000415 ,ÿס: 0.0016826 ,ÿע: 0.0021074 ,ÿף: 0.0001542 ,ÿפ: 0.0002747 ,ÿץ: 0.0003543 ,ÿצ: 0.0001138 ,ÿק: 0.000362 ,ÿר: 1.33e-05 ,ÿש: 0.0002119 ,ÿû: 0.0 ,ÿü: 0.0 ,ÿ‎: 0.0002527 ,ÿ‏: 0.0005953 ,ÿÿ: 0.0001261 
