אא: 1.68e-05 ,אב: 0.0023683 ,אג: 0.0034469 ,אד: 0.0004655 ,אה: 0.0007288 ,או: 0.003174 ,אז: 0.0009373 ,אח: 0.0029558 ,אט: 0.0001908 ,אי: 0.0001617 ,אך: 0.0048683 ,אכ: 0.0057508 ,אל: 0.0019231 ,אם: 0.0035883 ,אמ: 8.92e-05 ,אן: 0.0041483 ,אנ: 0.0028029 ,אס: 0.0035715 ,אע: 0.0040777 ,אף: 5.3e-05 ,אפ: 0.0001334 ,אץ: 0.0007111 ,אצ: 0.0002509 ,אק: 0.0011599 ,אר: 0.0003215 ,אש: 0.0014514 ,אû: 0.0 ,אü: 0.0 ,א‎: 1.86e-05 ,א‏: 0.0012464 ,אÿ: 0.0019408 ,א_: 0.0131464 
כא: 0.0036404 ,כב: 2.7e-06 ,כג: 8e-06 ,כד: 4.24e-05 ,כה: 1.06e-05 ,כו: 0.0053426 ,כז: 0.000712 ,כח: 6.2e-06 ,כט: 0.0065644 ,כי: 0.0 ,כך: 0.0001016 ,ככ: 0.0002076 ,כל: 1.06e-05 ,כם: 0.000212 ,כמ: 0.0027199 ,כן: 3e-05 ,כנ: 2.7e-06 ,כס: 0.0002482 ,כע: 3e-05 ,כף: 0.0011369 ,כפ: 2.65e-05 ,כץ: 1.8e-06 ,כצ: 1.8e-06 ,כק: 2.21e-05 ,כר: 2.7e-06 ,כש: 1.8e-06 ,כû: 0.0004134 ,כü: 0.0056244 ,כ‎: 3.5e-06 ,כ‏: 0.0006201 ,כÿ: 0.0028542 ,כ_: 0.0014399 
לא: 0.0020238 ,לב: 2.56e-05 ,לג: 3e-05 ,לד: 9.7e-06 ,לה: 9.7e-06 ,לו: 0.0057163 ,לז: 0.0 ,לח: 4.4e-06 ,לט: 0.0019231 ,לי: 0.0 ,לך: 3.36e-05 ,לכ: 0.0001334 ,לל: 0.0002588 ,לם: 0.0003463 ,למ: 0.0051059 ,לן: 7.51e-05 ,לנ: 1.15e-05 ,לס: 0.0001087 ,לע: 2.3e-05 ,לף: 0.001757 ,לפ: 1.77e-05 ,לץ: 9e-07 ,לצ: 5.3e-06 ,לק: 1.41e-05 ,לר: 2.7e-06 ,לש: 0.0 ,לû: 0.0014169 ,לü: 1.94e-05 ,ל‎: 6.2e-06 ,ל‏: 3.5e-06 ,לÿ: 0.0004541 ,ל_: 0.0070264 
םא: 0.007105 ,םב: 2.7e-06 ,םג: 1.15e-05 ,םד: 0.0002155 ,םה: 0.0003525 ,םו: 0.0064743 ,םז: 2.7e-06 ,םח: 8.8e-06 ,םט: 0.0091226 ,םי: 9e-07 ,םך: 0.0007014 ,םכ: 9e-07 ,םל: 3.5e-06 ,םם: 0.0046033 ,םמ: 0.013202 ,םן: 7.1e-06 ,םנ: 6.2e-06 ,םס: 0.0007032 ,םע: 0.0009161 ,םף: 0.0011131 ,םפ: 7.1e-06 ,םץ: 6.2e-06 ,םצ: 0.0002385 ,םק: 9.19e-05 ,םר: 1.8e-06 ,םש: 2.39e-05 ,םû: 0.004954 ,םü: 0.0010265 ,ם‎: 1.15e-05 ,ם‏: 6.27e-05 ,םÿ: 0.0008569 ,ם_: 0.0016316 
מא: 1.41e-05 ,מב: 0.0061112 ,מג: 0.0088638 ,מד: 0.0050388 ,מה: 0.0085864 ,מו: 0.0018913 ,מז: 0.0013259 ,מח: 0.0013878 ,מט: 0.0055873 ,מי: 0.004537 ,מך: 0.0012977 ,מכ: 0.004643 ,מל: 0.0046368 ,מם: 0.0035794 ,ממ: 0.0006449 ,מן: 0.0015238 ,מנ: 0.0057729 ,מס: 0.0086615 ,מע: 0.0075422 ,מף: 2.21e-05 ,מפ: 0.0001184 ,מץ: 0.0003507 ,מצ: 0.0008039 ,מק: 0.002901 ,מר: 0.0005592 ,מש: 9.28e-05 ,מû: 0.0 ,מü: 0.0 ,מ‎: 0.0002173 ,מ‏: 0.0001714 ,מÿ: 0.0009699 ,מ_: 0.0167894 
ןא: 0.0007915 ,ןב: 0.0 ,ןג: 1.8e-06 ,ןד: 0.0 ,ןה: 4.4e-06 ,ןו: 0.0020044 ,ןז: 0.0 ,ןח: 0.0 ,ןט: 0.0037093 ,ןי: 0.0 ,ןך: 0.0001113 ,ןכ: 0.0009222 ,ןל: 9e-07 ,ןם: 0.0001325 ,ןמ: 0.0074283 ,ןן: 3.89e-05 ,ןנ: 0.0121879 ,ןס: 2.7e-06 ,ןע: 2.21e-05 ,ןף: 0.0003321 ,ןפ: 9e-07 ,ןץ: 0.0 ,ןצ: 2.39e-05 ,ןק: 1.41e-05 ,ןר: 2.65e-05 ,ןש: 2.7e-06 ,ןû: 5.48e-05 ,ןü: 4.4e-06 ,ן‎: 0.0 ,ן‏: 0.0 ,ןÿ: 0.0001184 ,ן_: 0.0001307 
נא: 0.0100846 ,נב: 2.12e-05 ,נג: 0.0004187 ,נד: 0.0001784 ,נה: 8.57e-05 ,נו: 0.0080166 ,נז: 0.0003419 ,נח: 5.3e-06 ,נט: 0.0046987 ,ני: 0.0 ,נך: 0.0001387 ,נכ: 8.66e-05 ,נל: 0.0014638 ,נם: 0.000795 ,נמ: 0.0101606 ,נן: 4.51e-05 ,ננ: 2.3e-05 ,נס: 0.0001378 ,נע: 0.0002897 ,נף: 0.0030724 ,נפ: 7.86e-05 ,נץ: 3.36e-05 ,נצ: 6.8e-05 ,נק: 1.59e-05 ,נר: 0.0003896 ,נש: 1.06e-05 ,נû: 0.0015724 ,נü: 0.0002208 ,נ‎: 8e-06 ,נ‏: 1.24e-05 ,נÿ: 0.0007049 ,נ_: 0.0008357 
סא: 0.0016881 ,סב: 3.18e-05 ,סג: 0.0012438 ,סד: 1.59e-05 ,סה: 0.0001184 ,סו: 0.0016616 ,סז: 8e-06 ,סח: 3.5e-06 ,סט: 0.0016016 ,סי: 0.0 ,סך: 0.0018701 ,סכ: 0.0032517 ,סל: 0.0005724 ,סם: 0.0007995 ,סמ: 0.0034823 ,סן: 0.0011272 ,סנ: 0.0012076 ,סס: 0.0014196 ,סע: 0.0204969 ,סף: 0.0009081 ,ספ: 0.0001334 ,סץ: 0.000333 ,סצ: 2.12e-05 ,סק: 0.0002394 ,סר: 0.0002023 ,סש: 0.0 ,סû: 0.0002677 ,סü: 0.0008913 ,ס‎: 1.68e-05 ,ס‏: 0.0001511 ,סÿ: 0.0042049 ,ס_: 0.0016917 
עא: 0.0094601 ,עב: 1.33e-05 ,עג: 0.0059928 ,עד: 1.33e-05 ,עה: 0.0003949 ,עו: 0.0053683 ,עז: 5.3e-06 ,עח: 6.2e-06 ,עט: 0.0046916 ,עי: 1.8e-06 ,עך: 0.0003198 ,עכ: 0.0001246 ,על: 3.36e-05 ,עם: 0.0017818 ,עמ: 0.016247 ,ען: 6.98e-05 ,ענ: 0.0035158 ,עס: 0.0034637 ,עע: 5.12e-05 ,עף: 0.0009797 ,עפ: 5.3e-05 ,עץ: 4.4e-06 ,עצ: 1.06e-05 ,עק: 0.0001325 ,ער: 1.94e-05 ,עש: 8.8e-06 ,עû: 0.0008648 ,עü: 0.0048806 ,ע‎: 8e-06 ,ע‏: 1.86e-05 ,עÿ: 0.000295 ,ע_: 0.008839 
ףא: 0.0002085 ,ףב: 0.0001502 ,ףג: 0.0002367 ,ףד: 0.0011104 ,ףה: 0.0017932 ,ףו: 0.0006705 ,ףז: 0.0006007 ,ףח: 4.77e-05 ,ףט: 2.21e-05 ,ףי: 1.8e-06 ,ףך: 0.0011396 ,ףכ: 0.0002827 ,ףל: 0.0005106 ,ףם: 0.0006493 ,ףמ: 1.15e-05 ,ףן: 0.0009805 ,ףנ: 0.0003463 ,ףס: 0.0005265 ,ףע: 0.0006926 ,ףף: 1.33e-05 ,ףפ: 2.56e-05 ,ףץ: 0.0001087 ,ףצ: 4.4e-06 ,ףק: 0.0007756 ,ףר: 8.13e-05 ,ףש: 0.0004788 ,ףû: 0.0 ,ףü: 0.0 ,ף‎: 1.68e-05 ,ף‏: 0.0017367 ,ףÿ: 2.56e-05 ,ף_: 0.0038224 
פא: 0.0004178 ,פב: 0.0 ,פג: 0.0 ,פד: 0.0 ,פה: 0.0 ,פו: 0.0001899 ,פז: 0.0 ,פח: 0.0 ,פט: 0.0002297 ,פי: 0.0 ,פך: 9e-07 ,פכ: 5.3e-06 ,פל: 9e-07 ,פם: 1.8e-06 ,פמ: 0.0012986 ,פן: 0.0 ,פנ: 5.74e-05 ,פס: 1.15e-05 ,פע: 9e-07 ,פף: 0.0005026 ,פפ: 1.86e-05 ,פץ: 0.0 ,פצ: 0.0 ,פק: 0.0 ,פר: 0.0 ,פש: 0.0 ,פû: 1.8e-06 ,פü: 0.0 ,פ‎: 9e-07 ,פ‏: 0.0 ,פÿ: 0.0 ,פ_: 0.0006793 
ץא: 0.000189 ,ץב: 1.8e-06 ,ץג: 5.04e-05 ,ץד: 1.24e-05 ,ץה: 1.24e-05 ,ץו: 2.56e-05 ,ץז: 0.0 ,ץח: 2.7e-06 ,ץט: 5.65e-05 ,ץי: 0.0 ,ץך: 8e-06 ,ץכ: 0.0001422 ,ץל: 9.7e-06 ,ץם: 3.71e-05 ,ץמ: 0.0017349 ,ץן: 1.33e-05 ,ץנ: 0.0001193 ,ץס: 9.81e-05 ,ץע: 1.06e-05 ,ץף: 2.56e-05 ,ץפ: 3.8e-05 ,ץץ: 5.3e-06 ,ץצ: 1.8e-06 ,ץק: 1.15e-05 ,ץר: 0.0 ,ץש: 0.0 ,ץû: 0.0 ,ץü: 0.0 ,ץ‎: 9e-07 ,ץ‏: 0.0 ,ץÿ: 0.0 ,ץ_: 0.004431 
צא: 0.0002509 ,צב: 0.0 ,צג: 9.7e-06 ,צד: 9e-07 ,צה: 0.0 ,צו: 0.0014293 ,צז: 0.0 ,צח: 0.0 ,צט: 0.0010353 ,צי: 0.0 ,צך: 2.47e-05 ,צכ: 0.0 ,צל: 9e-07 ,צם: 9e-07 ,צמ: 6.54e-05 ,צן: 2.7e-06 ,צנ: 9e-07 ,צס: 0.0 ,צע: 9e-07 ,צף: 7.42e-05 ,צפ: 9e-07 ,צץ: 0.0 ,צצ: 0.0 ,צק: 0.0 ,צר: 0.0 ,צש: 0.0 ,צû: 7.6e-05 ,צü: 0.0 ,צ‎: 9e-07 ,צ‏: 9e-07 ,צÿ: 0.0 ,צ_: 0.0001599 
קא: 0.002719 ,קב: 0.0 ,קג: 6.2e-06 ,קד: 0.0 ,קה: 9e-07 ,קו: 0.0039019 ,קז: 0.0 ,קח: 9e-07 ,קט: 0.0021599 ,קי: 0.0 ,קך: 7.77e-05 ,קכ: 2.12e-05 ,קל: 0.0 ,קם: 0.0018136 ,קמ: 4.4e-06 ,קן: 0.0 ,קנ: 2.92e-05 ,קס: 0.0 ,קע: 0.0017535 ,קף: 0.0001776 ,קפ: 0.0 ,קץ: 0.0 ,קצ: 0.0 ,קק: 0.0 ,קר: 3.71e-05 ,קש: 0.0 ,קû: 0.0 ,קü: 7.86e-05 ,ק‎: 0.0 ,ק‏: 0.0 ,קÿ: 0.0 ,ק_: 4.77e-05 
רא: 0.0003772 ,רב: 0.0 ,רג: 2.7e-06 ,רד: 0.0 ,רה: 0.0 ,רו: 0.0016245 ,רז: 0.0 ,רח: 0.0 ,רט: 0.0007306 ,רי: 0.0 ,רך: 4.33e-05 ,רכ: 0.0002756 ,רל: 8.8e-06 ,רם: 7.07e-05 ,רמ: 4.42e-05 ,רן: 5.3e-06 ,רנ: 9e-07 ,רס: 9e-07 ,רע: 0.0001263 ,רף: 6.18e-05 ,רפ: 0.0 ,רץ: 0.0 ,רצ: 0.0 ,רק: 0.0 ,רר: 0.0 ,רש: 0.0 ,רû: 0.0 ,רü: 0.000629 ,ר‎: 0.0 ,ר‏: 3.5e-06 ,רÿ: 0.0 ,ר_: 2.39e-05 
שא: 0.0006237 ,שב: 0.0 ,שג: 0.0 ,שד: 0.0 ,שה: 0.0 ,שו: 0.0030229 ,שז: 0.0 ,שח: 0.0 ,שט: 0.0008772 ,שי: 0.0 ,שך: 0.0 ,שכ: 0.0 ,של: 0.0 ,שם: 3.53e-05 ,שמ: 9e-07 ,שן: 0.0 ,שנ: 1.8e-06 ,שס: 0.0 ,שע: 0.0 ,שף: 6.63e-05 ,שפ: 0.0 ,שץ: 0.0 ,שצ: 0.0 ,שק: 0.0 ,שר: 0.0 ,שש: 0.0 ,שû: 0.0 ,שü: 3.71e-05 ,ש‎: 0.0 ,ש‏: 0.0 ,שÿ: 0.0 ,ש_: 1.41e-05 
ûא: 3.5e-06 ,ûב: 3e-05 ,ûג: 0.0007005 ,ûד: 2.83e-05 ,ûה: 9.01e-05 ,ûו: 0.0014434 ,ûז: 6.2e-06 ,ûח: 5.04e-05 ,ûט: 2.39e-05 ,ûי: 0.0019567 ,ûך: 3.98e-05 ,ûכ: 0.0006696 ,ûל: 0.0011404 ,ûם: 0.0001776 ,ûמ: 8e-06 ,ûן: 0.0001228 ,ûנ: 0.0003816 ,ûס: 0.0003657 ,ûע: 0.0005698 ,ûף: 9e-07 ,ûפ: 1.24e-05 ,ûץ: 0.0016793 ,ûצ: 2.7e-06 ,ûק: 0.0001095 ,ûר: 0.0003648 ,ûש: 2.7e-06 ,ûû: 0.0 ,ûü: 0.0 ,û‎: 4.4e-06 ,û‏: 0.0 ,ûÿ: 6.2e-06 ,û_: 0.0039646 
üא: 5.3e-06 ,üב: 1.59e-05 ,üג: 2.92e-05 ,üד: 0.000545 ,üה: 1.77e-05 ,üו: 9.45e-05 ,üז: 0.0 ,üח: 0.0001042 ,üט: 4.33e-05 ,üי: 0.0 ,üך: 0.0009903 ,üכ: 2.7e-06 ,üל: 7.77e-05 ,üם: 0.0033639 ,üמ: 1.06e-05 ,üן: 2.47e-05 ,üנ: 5.3e-06 ,üס: 0.0006007 ,üע: 0.0001378 ,üף: 1.8e-06 ,üפ: 2.56e-05 ,üץ: 9e-07 ,üצ: 7.07e-05 ,üק: 3.62e-05 ,üר: 0.0006714 ,üש: 2.83e-05 ,üû: 0.0 ,üü: 0.0 ,ü‎: 2.7e-06 ,ü‏: 0.0003772 ,üÿ: 8.3e-05 ,ü_: 0.0064363 
‎א: 0.0 ,‎ב: 0.0 ,‎ג: 1.8e-06 ,‎ד: 9e-07 ,‎ה: 5.3e-06 ,‎ו: 2.7e-06 ,‎ז: 0.0 ,‎ח: 4.4e-06 ,‎ט: 0.0 ,‎י: 6.2e-06 ,‎ך: 0.0003286 ,‎כ: 0.0002191 ,‎ל: 5.3e-06 ,‎ם: 2.21e-05 ,‎מ: 0.0 ,‎ן: 2.12e-05 ,‎נ: 8.8e-06 ,‎ס: 7.1e-06 ,‎ע: 0.0024673 ,‎ף: 9e-07 ,‎פ: 2.12e-05 ,‎ץ: 0.0 ,‎צ: 0.0 ,‎ק: 0.0 ,‎ר: 9e-07 ,‎ש: 0.0 ,‎û: 0.0 ,‎ü: 0.0 ,‎‎: 0.0 ,‎‏: 9e-07 ,‎ÿ: 2.7e-06 ,‎_: 1.5e-05 
‏א: 1.06e-05 ,‏ב: 2.03e-05 ,‏ג: 9.7e-06 ,‏ד: 6.2e-06 ,‏ה: 0.0001661 ,‏ו: 1.8e-06 ,‏ז: 8.8e-06 ,‏ח: 2.3e-05 ,‏ט: 6.2e-06 ,‏י: 2.7e-06 ,‏ך: 7.1e-06 ,‏כ: 1.59e-05 ,‏ל: 1.41e-05 ,‏ם: 2.39e-05 ,‏מ: 2.7e-06 ,‏ן: 8.8e-06 ,‏נ: 9.89e-05 ,‏ס: 6.89e-05 ,‏ע: 0.0014788 ,‏ף: 9e-07 ,‏פ: 2.7e-06 ,‏ץ: 9e-07 ,‏צ: 1.68e-05 ,‏ק: 0.0002889 ,‏ר: 0.0 ,‏ש: 0.0008639 ,‏û: 0.0 ,‏ü: 0.0 ,‏‎: 1.8e-06 ,‏‏: 1.41e-05 ,‏ÿ: 0.0 ,‏_: 0.0022915 
ÿא: 1.15e-05 ,ÿב: 2.12e-05 ,ÿג: 0.0006131 ,ÿד: 4.24e-05 ,ÿה: 0.0002447 ,ÿו: 0.0012076 ,ÿז: 0.0001882 ,ÿח: 0.0001449 ,ÿט: 4.77e-05 ,ÿי: 5.04e-05 ,ÿך: 0.0002032 ,ÿכ: 0.0001016 ,ÿל: 0.0003145 ,ÿם: 0.0006616 ,ÿמ: 3.45e-05 ,ÿן: 7.42e-05 ,ÿנ: 6.01e-05 ,ÿס: 0.0002385 ,ÿע: 0.0011237 ,ÿף: 8e-06 ,ÿפ: 2.83e-05 ,ÿץ: 0.0002579 ,ÿצ: 4.51e-05 ,ÿק: 3e-05 ,ÿר: 3.5e-06 ,ÿש: 0.0001802 ,ÿû: 0.0 ,ÿü: 0.0 ,ÿ‎: 1.59e-05 ,ÿ‏: 0.0005132 ,ÿÿ: 8.92e-05 ,ÿ_: 0.0104097 
_א: 0.0017164 ,_ב: 0.0029222 ,_ג: 0.0127188 ,_ד: 0.001083 ,_ה: 0.0070467 ,_ו: 0.0028003 ,_ז: 0.0012615 ,_ח: 0.0027756 ,_ט: 0.0084265 ,_י: 5.04e-05 ,_ך: 0.0101473 ,_כ: 0.001121 ,_ל: 0.0036333 ,_ם: 0.0086465 ,_מ: 0.0101129 ,_ן: 0.0183442 ,_נ: 0.0048833 ,_ס: 0.0150394 ,_ע: 0.0093885 ,_ף: 0.001863 ,_פ: 0.0021342 ,_ץ: 0.0007314 ,_צ: 0.0005433 ,_ק: 0.0034575 ,_ר: 0.0001466 ,_ש: 4.4e-06 ,_û: 0.0 ,_ü: 0.0 ,_‎: 0.0028091 ,_‏: 3.18e-05 ,_ÿ: 0.0005442 ,__: 0.0 
