bigram,frequency
сы,0.0004
юд,0.0004
еш,0.0004
ща,0.0004
щн,0.0004
ьс,0.0004
"""""""""",0.0004
мк,0.0004
ещ,0.0004
жк,0.0004
еж,0.0004
зж,0.0004
ян,0.0004
ув,0.0004
оц,0.0004
шу,0.0004
"ж""""",0.0004
ут,0.0004
юб,0.0004
ын,0.0004
вм,0.0004
йш,0.0004
лк,0.0004
дя,0.0004
ьш,0.0004
яя,0.0004
зр,0.0003
уб,0.0003
дг,0.0003
дь,0.0003
зл,0.0003
бб,0.0003
вр,0.0003
ай,0.0003
ып,0.0003
ящ,0.0003
"з""""",0.0003
дв,0.0003
иб,0.0003
ыт,0.0003
эл,0.0003
чш,0.0003
чу,0.0003
"д""""",0.0003
рх,0.0003
бн,0.0003
рь,0.0003
зь,0.0003
ищ,0.0003
бщ,0.0003
ыш,0.0003
тх,0.0003
нч,0.0003
цы,0.0002
зу,0.0002
рб,0.0002
чк,0.0002
кю,0.0002
тд,0.0002
яй,0.0002
йк,0.0002
ыг,0.0002
нщ,0.0002
нф,0.0002
"ц""""",0.0002
ню,0.0002
ыб,0.0002
рл,0.0002
тл,0.0002
ют,0.0002
иш,0.0002
ип,0.0002
лч,0.0002
лж,0.0002
ср,0.0002
ьм,0.0002
хв,0.0002
зш,0.0002
бя,0.0002
аю,0.0002
зб,0.0002
хи,0.0002
кл,0.0002
ун,0.0002
нк,0.0002
рш,0.0002
гн,0.0002
фр,0.0002
дх,0.0002
ох,0.0002
ге,0.0002
дс,0.0002
нд,0.0002
еи,0.0002
ию,0.0002
мс,0.0001
пя,0.0001
ца,0.0001
"ч""""",0.0001
зе,0.0001
ях,0.0001
аф,0.0001
тц,0.0001
пы,0.0001
рж,0.0001
ык,0.0001
сд,0.0001
яж,0.0001
рс,0.0001
жч,0.0001
бв,0.0001
ои,0.0001
зк,0.0001
бк,0.0001
мр,0.0001
пп,0.0001
ял,0.0001
ющ,0.0001
ею,0.0001
вп,0.0001
ощ,0.0001
гк,0.0001
ья,0.0001
уо,0.0001
щу,0.0001
ух,0.0001
фа,0.0001
кс,0.0001
вз,0.0001
юл,0.0001
шн,0.0001
чь,0.0001
юю,0.0001
гч,0.0001
фи,0.0001
рк,0.0001
дм,0.0001
иф,0.0001
эк,0.0001
уй,0.0001
зм,0.0001
сф,0.0001
дш,0.0001
рв,0.0001
хн,0.0001
кв,0.0001
зю,0.0001
фе,0.0001
яи,0.0001
ыр,0.0001
щь,0.0001
еу,0.0001
цо,0.0000
мя,0.0000
ыч,0.0000
шо,0.0000
"""""",0.0000
дт,0.0000
"г""""",0.0000
цу,0.0000
